Performing image warping using TORCH_ALL
Working on image 0
Not saving images, only evaluating output
Time taken was 1.314126
Reference position is (4, 4)
Position (6, 2): PSNR 34.313255, SSIM 0.930628
Position (6, 3): PSNR 36.027420, SSIM 0.944031
Position (6, 4): PSNR 36.923513, SSIM 0.949588
Position (6, 5): PSNR 36.262464, SSIM 0.943284
Position (6, 6): PSNR 35.144210, SSIM 0.935593
Position (6, 7): PSNR 33.801836, SSIM 0.924317
Position (7, 0): PSNR 31.328285, SSIM 0.899585
Position (7, 1): PSNR 32.442252, SSIM 0.912234
Position (7, 2): PSNR 33.573225, SSIM 0.924608
Position (7, 3): PSNR 34.714556, SSIM 0.935936
Position (7, 4): PSNR 35.255047, SSIM 0.939081
Position (7, 5): PSNR 34.956268, SSIM 0.934031
Position (7, 6): PSNR 34.341216, SSIM 0.928687
Position (7, 7): PSNR 33.420137, SSIM 0.919612

psnr average 35.594904, stddev 8.414896
ssim average 0.928472, stddev 0.019805
Working on image 6
Not saving images, only evaluating output
Time taken was 1.325642
Reference position is (4, 4)
Position (0, 0): PSNR 31.347161, SSIM 0.879548
Position (0, 1): PSNR 32.159466, SSIM 0.887175
Position (0, 2): PSNR 32.910629, SSIM 0.893851
Position (0, 3): PSNR 33.418206, SSIM 0.898707
Position (0, 4): PSNR 33.487979, SSIM 0.898422
Position (0, 5): PSNR 33.364637, SSIM 0.896639
Position (0, 6): PSNR 32.805835, SSIM 0.889938
Position (0, 7): PSNR 31.998018, SSIM 0.881472
Position (1, 0): PSNR 32.001031, SSIM 0.890884
Position (1, 1): PSNR 33.045717, SSIM 0.900506
Position (1, 2): PSNR 34.137327, SSIM 0.909618
Position (1, 3): PSNR 34.919446, SSIM 0.916092
Position (1, 4): PSNR 35.070047, SSIM 0.917163
Position (1, 5): PSNR 34.782850, SSIM 0.913372
Position (1, 6): PSNR 33.875502, SSIM 0.904388
Position (1, 7): PSNR 32.796931, SSIM 0.894233
Position (2, 0): PSNR 32.540175, SSIM 0.901689
Position (2, 1): PSNR 33.862995, SSIM 0.913337
Position (2, 2): PSNR 35.449036, SSIM 0.925713
Position (2, 3): PSNR 36.912924, SSIM 0.937058
Position (2, 4): PSNR 37.363900, SSIM 0.939726
Position (2, 5): PSNR 36.571107, SSIM 0.931811
Position (2, 6): PSNR 35.048682, SSIM 0.920409
Position (2, 7): PSNR 33.592567, SSIM 0.908498
Position (3, 0): PSNR 32.966252, SSIM 0.910618
Position (3, 1): PSNR 34.590332, SSIM 0.924455
Position (3, 2): PSNR 36.812400, SSIM 0.941022
